R	G	B	Size
79	122	242	9
73	118	243	9
28	72	221	9
42	86	234	9
51	85	216	9
46	93	239	9
42	89	240	8
95	138	248	8
46	85	226	8
65	103	228	8
72	105	227	8
48	89	227	8
40	85	234	8
38	80	225	8
74	123	249	8
61	101	231	8
29	78	235	6
105	139	241	6
86	129	245	6
69	119	246	6
43	88	232	6
80	123	242	6
86	131	247	6
49	88	226	6
55	105	246	6
96	132	239	6
42	92	244	6
72	118	241	5
37	82	234	5
71	121	247	5
75	120	241	5
